"아다란 클럽 Rannalhi, 몰디브, 워터 방갈로",https://www.airbnb.co.kr/rooms/33032352?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
"릴리 비치 리조트 및 스파, 몰디브, 수영장, 인공 지능",https://www.airbnb.co.kr/rooms/32719760?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
앙사나 벨라바루 디럭스 비치프론트 풀빌라,https://www.airbnb.co.kr/rooms/33190681?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
등대아파트 태저,https://www.airbnb.co.kr/rooms/555632030522710376?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-19&check_out=2022-09-24&previous_page_section_name=1000
호스트 섬의 럭셔리 바닷가 빌라 등대 리게로 - 비스섬,https://www.airbnb.co.kr/rooms/48729525?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
"로빈슨 하우스 ""La Vida""",https://www.airbnb.co.kr/rooms/49735366?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-28&check_out=2022-10-05&previous_page_section_name=1000
특별한 프라이빗 아일랜드 리조트: 플로럴 아일랜드,https://www.airbnb.co.kr/rooms/5153819?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-10&check_out=2022-07-15&previous_page_section_name=1000
프리바티 사아리/프라이빗 섬 투어,https://www.airbnb.co.kr/rooms/48821490?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-08-19&check_out=2022-08-25&previous_page_section_name=1000
등대 아파트 수삭 (Sušac),https://www.airbnb.co.kr/rooms/555701192524977533?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-01&check_out=2022-09-06&previous_page_section_name=1000
스톡홀름의 숨막히는 군도에 위치한 전원주택,https://www.airbnb.co.kr/rooms/35931283?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-11&check_out=2022-09-16&previous_page_section_name=1000
"Adaaran Club Rannalhi, 몰디브, 실버 올 인클루시브.",https://www.airbnb.co.kr/rooms/33031953?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
더 아일랜드,https://www.airbnb.co.kr/rooms/32582746?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-01&check_out=2022-09-06&previous_page_section_name=1000
"이슬라 - 베이직 엘리베이티드 대나무 오두막, 씨뷰 1",https://www.airbnb.co.kr/rooms/33908309?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
몰디브 라아 환초의 블리스풀 비치 풀 빌라,https://www.airbnb.co.kr/rooms/52159627?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
라브나 시카 섬 (코르나티),https://www.airbnb.co.kr/rooms/24506841?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-09&check_out=2022-07-16&previous_page_section_name=1000
PIUGUS 리조트 (스탠다드-01),https://www.airbnb.co.kr/rooms/20655545?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
JA 마나파루 몰디브 비치 방갈로,https://www.airbnb.co.kr/rooms/33220320?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
"몰디브 밴드, 가든 빌라",https://www.airbnb.co.kr/rooms/33221572?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000
마조르스그룬드 - 프라이빗 아일랜드,https://www.airbnb.co.kr/rooms/40792948?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-05&check_out=2022-07-10&previous_page_section_name=1000
워터프론트 헤리티지 빌라,https://www.airbnb.co.kr/rooms/14210588?adults=1&category_tag=Tag%3A675&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-01&check_out=2022-07-06&previous_page_section_name=1000